Dimension - Numero de Particulas - Inercia -Cognitivo - Social || Numero medio de iteraciones y valor medio de los pso asociados sobre las funciones  Rastrigin, Schwefwl2-21 y Esfera

t = 0.1s
3 & 19 & 0.2359 & 1.0806 & 1.8549 & (152.46, 2.1350) & (166.08, 0.0000) & (165.96, 1.1150)\\
3 & 9 & 0.5699 & 1.6813 & 0.9039 & (475.04, 1.3930) & (517.0, 0.0000) & (509.7, 0.0000)\\
3 & 18 & 0.3827 & 1.6366 & 1.3201 & (159.64, 0.8955) & (174.02, 0.0000) & (175.1, 0.0000)\\
3 & 11 & 0.4631 & 2.0402 & 0.9813 & (252.24, 0.8557) & (273.94, 0.0000) & (279.6, 0.0000)\\
3 & 25 & 0.1303 & 1.4545 & 1.7492 & (110.88, 0.9618) & (120.54, 0.5217) & (121.2, 5.2375)\\
3 & 13 & 0.5548 & 1.1423 & 0.7646 & (215.52, 1.3343) & (234.26, 0.0000) & (240.22, 1.1872)\\
3 & 10 & 0.4841 & 1.8191 & 1.2143 & (279.08, 1.2537) & (299.6, 0.0025) & (302.78, 0.0000)\\
3 & 16 & 0.2134 & 1.1062 & 2.0343 & (175.3, 1.5720) & (183.88, 0.8384) & (184.7, 0.0000)\\
3 & 60 & 0.0261 & 0.6483 & 1.7529 & (45.64, 1.6750) & (49.4, 0.0820) & (49.36, 19.3439)\\
3 & 13 & 0.3458 & 1.7666 & 1.5961 & (229.6, 0.9353) & (239.14, 0.2239) & (243.78, 0.0000)\\

5 & 51 & 0.4171 & 1.2718 & 1.0286 & (48.06, 2.4752) & (59.4, 0.4167) & (58.66, 0.0451)\\
5 & 20 & 0.5354 & 1.6984 & 0.9452 & (183.56, 2.3924) & (229.06, 0.0001) & (234.9, 0.0000)\\
5 & 43 & 0.3101 & 1.2711 & 1.3545 & (58.5, 3.0651) & (71.22, 0.0063) & (72.58, 0.0000)\\
5 & 61 & 0.2766 & 1.3794 & 1.2730 & (40.04, 2.5162) & (50.92, 0.3235) & (49.68, 0.0000)\\
5 & 64 & 0.2355 & 1.4994 & 1.3553 & (39.04, 2.6110) & (49.86, 0.3795) & (48.46, 0.0000)\\
5 & 18 & 0.5672 & 1.5136 & 0.9412 & (133.86, 2.9557) & (169.12, 0.0046) & (171.8, 0.0000)\\
5 & 20 & 0.5191 & 1.1737 & 1.4906 & (117.24, 4.1347) & (150.14, 0.3167) & (151.12, 19.7058)\\
5 & 36 & 0.2685 & 1.4971 & 1.8766 & (66.8, 2.3626) & (86.8, 0.0000) & (87.34, 0.0000)\\
5 & 26 & 0.3828 & 1.3514 & 1.4906 & (87.78, 3.8605) & (113.5, 0.0471) & (111.58, 0.0000)\\
5 & 73 & 0.3083 & 1.4870 & 1.2326 & (37.22, 2.4998) & (47.6, 0.7268) & (48.1, 0.0000)\\

10 & 101 & 0.4035 & 1.2001 & 1.1322 & (17.62, 16.0255) & (31.06, 0.9558) & (30.04, 0.0162)\\
10 & 56 & 0.5397 & 1.8691 & 0.9726 & (48.2, 9.6164) & (82.24, 0.0745) & (82.48, 0.0000)\\
10 & 75 & 0.5554 & 1.3581 & 0.8484 & (24.44, 17.5205) & (43.22, 0.2898) & (42.54, 0.0034)\\
10 & 49 & 0.5443 & 1.6976 & 1.1078 & (36.14, 13.1568) & (63.4, 0.1264) & (62.26, 0.0000)\\
10 & 47 & 0.4537 & 1.5082 & 1.4124 & (38.12, 12.7416) & (65.88, 0.5896) & (65.4, 0.0002)\\
10 & 21 & 0.6999 & 1.3776 & 1.0370 & (86.02, 12.8361) & (143.6, 0.1591) & (144.96, 0.0000)\\
